Island name,Human_density,Surface,Elevation,distanceMain,EVI,Temperature,Precipitations,Perimeter depth ,Connectivity,Radiality,Lizard richness,Snake_presence,Acanthodactylus schreiberi,Algyroides fitzingeri,Archaeolacerta bedriagae,Euleptes europaea,Mediodactylus bartoni,Mediodactylus oertzeni,Phoenicolacerta troodica,Podarcis lilfordi,Podarcis pityusensis,Podarcis latastei,Podarcis raffonei,Podarcis tiliguerta,Podarcis waglerianus,Podarcis filfolensis,Podarcis cretensis,Podarcis gaigae,Podarcis levendis,Podarcis milensis,Lacerta citrovittata,Ablepharus budaki,Ablepharus kitaibelii,Anatololacerta pelasgiana,Anguis graeca,Anguis veronensis,Blanus strauchi,Chalcides chalcides,Chalcides ocellatus,Chamaeleo chamaeleon,Eumeces schneiderii,Hemidactylus turcicus,Heremites auratus,Heremites vittatus,Lacerta bilineata,Lacerta diplochondrodes,Lacerta trilineata,Lacerta viridis,Mediodactylus kotschyi,Mediodactylus orientalis,Ophiomorus punctatissimus,Ophisops elegans,Podarcis erhardii,Podarcis muralis,Podarcis siculus,Psammodromus algirus,Pseudopus apodus,Scelarcis perspicillata,Stellagama stellio,Tarentola mauritanica,Timon lepidus,Timon pater
Escull Vermell,0,0.00176,23,85571.12,0.033,17.5583,395,-149.18,-0.323 ,0.346 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redona,0,0.015,27,120272.05,0.198,17.7,429,1.64,-0.323 ,0.355 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Na Plana (Bledes),0,0.03125,18,84941.22,0.126,17.5583,395,-150.56,0.000 ,0.346 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na Bosc,0,0.031,39,84876.6,0.142,17.5583,395,-116.67,0.000 ,0.348 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosc,0,0.18,67,89426.95,0.276,17.8958,392,-26.04,0.000 ,0.356 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na Gorra,0,0.015625,29,85078.37,0.115,17.5583,395,-105.97,0.000 ,0.348 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S'Espartar,0,0.19,67,86925.54,0.197,17.8958,392,-44.36,0.645 ,0.354 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Escull de S'Espartar,0,0.002,10,88229.98,0.074,17.8958,392,-43.42,-0.323 ,0.353 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frare,0,0.005,25,86805.07,0.127,17.8458,397,-54.63,-0.323 ,0.354 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negra ,0,0.00375,9.5,106790.41,0.09,17.6458,426,23.51,-0.323 ,0.356 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
